Franchise	No_of_Movies	Domestic_Box_Office	Infl_Adj_Dom_Box_Office	Worldwide_Box_Office	First_Year	Last_Year	No_of_Years
Fly	2	$57,026,528	$136,679,972	$57,026,528	1986	1989	3
Salt	1	$118,311,368	$136,605,397	$290,650,494	2010	2010	
Escape from New York	2	$50,671,561	$135,133,276	$50,672,786	1981	1996	15
Bean	2	$78,636,336	$134,063,598	$491,555,470	1997	2007	10
Unbroken	2	$121,854,792	$133,324,026	$169,744,721	2014	2018	4
Goosebumps	2	$126,766,779	$133,199,777	$252,196,802	2015	2018	3
Millennium (English)	2	$117,344,348	$132,395,701	$274,357,312	2011	2018	7
Deep Blue Sea	2	$73,648,228	$132,073,883	$165,048,228	1999	2018	19
Dolphin Tale	2	$114,311,312	$129,901,686	$153,893,257	2011	2014	3
Brother Bear	2	$85,336,277	$128,834,996	$250,397,798	2003	2006	3
Mean Girls	2	$86,047,227	$126,230,310	$130,953,026	2004	2011	7
Jingle All the Way	2	$60,592,389	$124,628,189	$129,832,389	1996	2014	18
Inside Man	1	$88,634,237	$123,276,010	$185,798,265	2006	2006	
Paddington	2	$117,115,169	$123,263,684	$452,383,171	2014	2017	3
Dark Crystal	1	$40,577,001	$121,901,930	$40,577,001	1982	1982	
Whole Nine Yards	2	$73,586,461	$120,730,238	$111,851,836	2000	2004	4
Sin City	2	$87,861,624	$120,658,297	$199,178,760	2005	2014	9
Beverly Hills Chihuahua	3	$94,514,402	$119,880,276	$154,218,168	2008	2012	4
Open Season	4	$85,105,259	$118,367,770	$212,047,685	2006	2015	9
Last Picture Show	2	$22,773,266	$118,109,392	$22,773,266	1971	1990	19
Un homme et une femme	2	$14,056,821	$117,148,688	$14,056,821	1966	1986	20
Jeepers Creepers	3	$75,763,138	$117,098,045	$182,497,271	2001	2017	16
Road Trip	2	$68,525,609	$115,819,721	$119,739,110	2000	2009	9
Yogi Bear	1	$100,246,011	$115,545,792	$204,774,690	2010	2010	
Bring It On	5	$68,353,550	$115,528,911	$90,453,550	2000	2017	17
Harold & Kumar	3	$91,394,924	$115,366,143	$99,017,018	2004	2011	7
High School Musical	5	$90,559,416	$114,883,841	$279,277,272	2006	2008	2
Dumbo	2	$114,766,307	$114,766,307	$353,184,736	1941	2019	78
Bad Grandpa	2	$102,003,019	$114,296,501	$160,903,019	2013	2014	1
Dukes of Hazzard	2	$80,270,227	$114,081,396	$109,848,461	2005	2007	2
Old School	1	$75,155,000	$113,542,622	$86,765,463	2003	2003	
Sisterhood of the Traveling Pants	2	$83,143,025	$111,444,315	$85,830,248	2005	2008	3
Urban Legend	2	$59,585,514	$110,296,392	$111,146,226	1998	2000	2
Bad Santa	2	$77,842,504	$109,325,612	$100,492,144	2003	2016	13
Starship Troopers	3	$54,768,952	$108,683,667	$121,100,000	1997	2008	11
The Land Before Time	3	$48,092,846	$106,931,659	$81,972,846	1988	2016	28
Evil Dead	4	$74,065,876	$106,831,276	$154,607,509	1983	2013	30
Hellraiser	6	$48,022,912	$106,658,742	$48,034,060	1987	2018	31
Agent Cody Banks	2	$71,059,307	$106,325,224	$86,943,541	2003	2004	1
28 Days Later	2	$73,703,831	$106,004,726	$147,188,347	2003	2007	4
Dragonheart	4	$51,364,680	$105,867,018	$104,364,680	1996	2017	21
Dollar Trilogy	3	$13,900,000	$105,524,155	$13,927,522	1967	1967	
Kenneth Branagh's Hercule Poirot	2	$102,826,543	$104,396,965	$345,922,730	2017	2020	3
Teen Wolf	2	$40,974,611	$103,285,199	$40,974,611	1985	1987	2
Zoolander	2	$74,020,943	$103,089,006	$116,129,674	2001	2016	15
Missing in Action	3	$39,567,858	$102,751,371	$39,567,858	1984	1988	4
Jumper	1	$80,172,128	$101,722,579	$222,640,812	2008	2008	
Sicario	2	$96,955,143	$100,735,634	$160,278,945	2015	2018	3
The Nut Job	2	$92,622,060	$100,457,309	$179,968,355	2014	2017	3
Nanny McPhee	2	$76,476,921	$99,470,250	$226,545,443	2006	2010	4
Universal Soldier	4	$46,752,779	$98,426,499	$48,562,507	1992	2012	20
Weekend at Bernie's	2	$42,960,278	$97,033,170	$42,960,278	1989	1993	4
Downton Abbey	2	$96,853,865	$96,853,867	$194,347,679	2019	2019	
F/X	2	$41,679,546	$96,198,831	$41,679,546	1986	1991	5
Mannequin	2	$41,318,609	$95,721,184	$41,318,609	1987	1991	4
Highlander	5	$46,623,898	$95,588,753	$53,623,898	1986	2008	22
God's Not Dead	3	$87,257,741	$95,352,683	$94,683,139	2014	2018	4
NeverEnding Story	2	$38,416,963	$94,790,196	$38,509,012	1984	1991	7
Creepshow	2	$34,036,244	$94,704,007	$34,036,244	1982	1987	5
White Fang	2	$43,481,490	$94,692,847	$43,481,490	1991	1994	3
Behind Enemy Lines	4	$58,855,732	$94,516,751	$58,855,732	2001	2014	13
Ouija	2	$86,000,515	$93,720,701	$185,132,498	2014	2016	2
I Can Only Imagine	2	$93,350,873	$93,350,873	$96,248,171	2018	2020	2
His Dark Materials	1	$70,107,728	$92,585,768	$367,262,558	2007	2007	
Man from Snowy River	2	$34,346,450	$91,437,780	$34,346,450	1982	1988	6
3 Ninjas	4	$41,488,660	$91,398,426	$41,488,660	1992	1998	6
The Woman in Black	2	$80,834,613	$91,338,773	$173,962,590	2012	2015	3
Gods Must Be Crazy	2	$36,323,227	$91,234,218	$43,923,227	1984	1990	6
The Strangers	2	$77,029,082	$91,167,433	$115,195,938	2008	2018	10
Hostel	3	$64,871,285	$89,055,106	$115,847,519	2006	2011	5
Jarhead	3	$62,647,540	$89,029,880	$96,947,540	2005	2016	11
Tintin	2	$77,591,831	$89,024,250	$373,993,951	2011	2021	10
Best Exotic Marigold Hotel	2	$79,461,905	$88,831,291	$225,024,086	2012	2015	3
A Dog’s Purpose	2	$87,104,261	$88,108,168	$281,770,781	2017	2019	2
Kick-Ass	2	$76,867,288	$87,771,462	$160,661,043	2010	2013	3
Iron Eagle	3	$36,677,472	$87,017,208	$36,677,472	1986	1992	6
Soul Food	1	$43,492,389	$86,309,160	$43,492,389	1997	1997	
Hills Have Eyes	2	$62,583,029	$85,655,072	$107,822,351	2006	2007	1
Silent Hill	2	$64,512,851	$85,408,145	$150,679,899	2006	2012	6
Without a Paddle	2	$58,156,435	$85,312,599	$65,121,280	2004	2009	5
Candyman	3	$39,471,013	$85,241,423	$39,471,013	1992	2020	28
Sinister	2	$75,827,858	$85,012,780	$141,832,032	2012	2015	3
Butterfly Effect	3	$57,924,679	$84,974,846	$95,638,592	2004	2009	5
Happy Death Day	2	$83,831,975	$84,701,063	$189,696,775	2017	2019	2
Care Bears	4	$33,474,346	$84,484,036	$33,474,346	1985	2007	22
Street Fighter	2	$42,165,261	$83,595,200	$112,083,287	1994	2009	15
Benchwarmers	2	$59,843,754	$83,233,060	$65,063,726	2006	2019	13
Hoodwinked	2	$61,530,390	$83,123,730	$133,196,501	2006	2011	5
Wallace and Gromit	4	$57,070,549	$81,746,035	$198,595,154	1995	2009	14
Curious George	4	$58,640,119	$81,558,997	$73,992,733	2006	2015	9
Dark Universe	2	$80,101,125	$81,351,307	$409,953,905	2017	2020	3
Stomp the Yard	2	$61,356,221	$81,243,481	$75,525,718	2007	2010	3
Carlito's Way	2	$36,516,012	$80,452,095	$36,516,012	1993	2005	12
Willard	2	$14,545,941	$80,311,218	$14,545,941	1971	1972	1
Three Flavours Cornetto Trilogy	3	$63,166,511	$80,281,037	$159,583,508	2004	2013	9
White Noise	2	$56,094,360	$79,722,248	$100,337,927	2005	2008	3
Monty Python	4	$38,867,565	$79,542,817	$40,794,490	1975	1983	8
Elizabeth	2	$46,367,939	$77,983,731	$157,021,508	1998	2007	9
All Dogs Go To Heaven	2	$34,777,449	$77,503,543	$34,777,449	1989	1996	7
Hitman: Agent 47	2	$62,155,144	$76,807,075	$181,318,374	2007	2015	8
George A. Romero's Dead Series	6	$44,745,768	$76,426,377	$172,338,528	1968	2010	42
A Cinderella Story	4	$51,438,175	$75,459,214	$70,164,105	2004	2016	12
Lawnmower Man	2	$34,497,118	$75,406,066	$34,497,118	1992	1996	4
Lost Boys	3	$32,222,567	$75,076,102	$32,302,907	1987	2010	23
Big Fat Liar	2	$47,811,275	$74,967,420	$52,461,017	2002	2017	15
Happy Feet	1	$64,006,466	$73,517,582	$157,956,466	2011	2011	
House on Haunted Hill	2	$40,846,082	$73,212,816	$65,090,541	1999	2007	8
Hot Tub Time Machine	2	$62,584,510	$71,350,886	$78,794,394	2010	2015	5
The Sandlot	3	$32,416,586	$71,332,147	$32,416,586	1993	2007	14
Darkman	3	$32,942,739	$71,115,721	$32,942,739	1990	2010	20
House	3	$28,983,528	$69,890,434	$31,683,528	1986	1989	3
Fright Night	2	$27,272,526	$69,321,561	$27,272,526	1985	1989	4
Cop and a Half	2	$31,226,971	$68,714,416	$31,226,971	1993	2017	24
Air Bud	13	$34,740,459	$68,523,953	$39,423,158	1997	2018	21
Haunting in Connecticut	2	$55,389,516	$67,279,801	$78,758,522	2009	2013	4
47 Meters Down	2	$66,568,093	$67,259,617	$100,198,938	2017	2019	2
Boogeyman	3	$46,752,382	$66,445,270	$67,192,859	2005	2009	4
The Last Exorcism	2	$56,213,653	$64,388,350	$95,614,607	2010	2013	3
A Haunted House	2	$57,371,170	$64,191,683	$81,129,419	2013	2014	1
Project X	1	$54,731,865	$62,639,103	$103,028,188	2012	2012	
The Thing	2	$30,782,772	$62,237,607	$41,355,916	1982	2011	29
Baby Geniuses	2	$36,260,812	$62,054,223	$36,506,859	1999	2004	5
Angel	2	$23,111,351	$61,846,077	$23,111,351	1984	1985	1
Super Troopers	2	$49,109,758	$59,613,162	$54,621,777	2002	2018	16
Punisher	2	$41,715,347	$59,600,344	$64,691,308	2004	2008	4
The Howling	2	$17,985,000	$58,936,453	$18,095,008	1981	2012	31
You Got Served	2	$40,066,497	$58,777,091	$52,042,400	2004	2011	7
Wild Things	2	$29,795,299	$57,875,302	$55,576,699	1998	2010	12
Return of the Living Dead	3	$23,464,804	$56,988,753	$23,464,804	1985	1993	8
Lake Placid	5	$31,770,413	$56,974,104	$31,770,413	1999	2015	16
Viva Pedro Box	8	$32,335,870	$56,762,752	$168,519,885	1986	2004	18
VeggieTales	2	$38,552,620	$56,556,838	$38,857,223	2002	2008	6
Johnny English	3	$40,832,390	$56,392,048	$487,186,743	2003	2018	15
The Mechanic	2	$50,339,901	$55,801,610	$202,077,028	2011	2016	5
Tales from the Crypt	3	$26,690,431	$55,710,729	$26,690,431	1995	2001	6
Crank	2	$41,522,657	$55,340,562	$79,397,662	2006	2009	3
Delta Force	2	$23,160,543	$55,044,770	$23,160,543	1986	1990	4
Children of the Corn	3	$21,553,340	$54,885,818	$21,553,340	1984	2018	34
Dracula 2000	1	$33,000,377	$54,854,508	$33,000,377	2000	2000	
Prom Night	2	$15,707,587	$52,232,558	$15,707,587	1980	1987	7
The Art of War	3	$30,199,105	$51,041,526	$30,199,105	2000	2009	9
Mimic	2	$25,514,166	$50,639,220	$25,514,166	1997	2001	4
Ninja	4	$17,936,413	$50,497,559	$17,936,413	1983	2013	30
The Boy	2	$48,431,092	$50,335,946	$87,197,915	2016	2020	4
Allan Quatermain	2	$18,809,164	$47,355,219	$18,809,164	1985	1987	2
Max	2	$42,656,255	$46,097,083	$43,730,696	2015	2017	2
Death Race	3	$36,316,032	$46,077,861	$72,516,819	2008	2013	5
Johnson Family	2	$31,203,964	$45,775,855	$31,286,759	2004	2008	4
Honey	2	$30,272,254	$45,670,926	$71,536,388	2003	2010	7
Open Water	2	$30,500,882	$44,744,448	$57,005,415	2004	2017	13
Unfriended	2	$41,656,390	$44,301,347	$80,798,786	2015	2018	3
Joe Dirt	2	$27,087,695	$43,598,738	$30,987,695	2001	2015	14
House of 1,000 Corpses	2	$29,679,943	$43,313,250	$37,945,894	2003	2005	2
Gettysburg	2	$23,614,931	$43,078,840	$23,655,933	1993	2003	10
Sniper	3	$18,994,653	$41,797,409	$18,994,653	1993	2014	21
Clerks	2	$27,221,496	$40,381,842	$31,236,486	1994	2006	12
Quarantine	1	$31,691,811	$40,210,638	$41,924,774	2008	2008	
Cirque du Soleil	3	$28,138,938	$39,940,454	$55,773,929	2000	2019	19
Machete	2	$34,601,807	$39,679,188	$64,643,979	2010	2013	3
Van Wilder	3	$25,566,609	$39,332,553	$43,523,216	2002	2009	7
American Ninja	4	$15,759,000	$39,096,303	$15,759,000	1985	1990	5
Dragon Ball Z	3	$38,385,118	$39,031,100	$220,004,898	2013	2018	5
Critters	4	$16,167,232	$38,982,109	$16,167,232	1986	2019	33
Space Chimps	2	$30,105,968	$38,198,522	$72,590,156	2008	2010	2
An Inconvenient Truth	2	$27,642,956	$37,134,802	$59,205,247	2006	2017	11
Trainspotting	2	$18,903,789	$36,451,087	$113,650,233	1996	2017	21
Tremors	3	$16,667,084	$35,980,355	$16,667,084	1990	2018	28
Kickboxer	4	$15,745,035	$35,799,367	$15,920,982	1989	2018	29
Joy Ride	3	$21,973,182	$35,366,724	$22,204,890	2001	2014	13
Beastmaster	2	$11,524,616	$34,987,602	$11,524,616	1982	1991	9
Gate	2	$15,032,973	$34,751,744	$15,032,973	1987	1992	5
Big Lebowski	2	$17,516,973	$34,008,381	$46,254,137	1998	2019	21
Omega Code	2	$18,658,243	$32,314,091	$18,726,003	1999	2001	2
Cabin Fever	3	$21,158,188	$31,965,350	$30,351,664	2003	2014	11
Millenium	3	$27,259,458	$31,640,752	$221,298,683	2009	2010	1
Never Back Down	3	$24,850,922	$31,530,903	$39,319,801	2008	2016	8
Academy Award Short Film Nominations	15	$28,628,085	$30,596,048	$28,632,823	2006	2020	14
Flicka	2	$21,000,147	$29,200,392	$21,896,367	2006	2011	5
Center Stage	2	$17,200,925	$29,072,433	$21,395,182	2000	2009	9
Alpha and Omega	4	$25,107,267	$28,989,505	$48,958,353	2010	2015	5
Before Sunrise	3	$19,177,448	$28,631,373	$40,159,496	1995	2013	18
Pulse	3	$20,264,436	$28,184,582	$30,241,435	2006	2008	2
Escape Plan	3	$25,135,965	$28,165,478	$121,121,471	2013	2019	6
Warlock	2	$12,727,232	$27,683,185	$12,727,232	1991	1993	2
Bloodsport	2	$12,490,470	$27,579,295	$12,490,470	1988	1996	8
Exterminator	2	$8,739,406	$27,071,768	$8,739,406	1980	1984	4
Baahubali	2	$25,723,794	$26,563,622	$290,239,579	2015	2017	2
The Marine	4	$18,844,784	$26,205,944	$22,165,608	2006	2015	9
Dungeons & Dragons	2	$15,185,241	$25,590,236	$34,681,787	2000	2005	5
Vacancy	2	$19,063,007	$25,241,851	$24,363,007	2007	2009	2
Wild Orchid	2	$11,573,904	$25,006,267	$11,573,904	1990	1992	2
Skyline	2	$21,416,355	$24,727,883	$68,882,159	2010	2017	7
Class of 1984	3	$8,365,510	$24,605,728	$8,365,510	1982	1994	12
Far From Home	2	$11,392,788	$23,861,641	$11,392,788	1989	1995	6
Leprechaun	4	$10,750,531	$23,728,106	$10,750,531	1993	2018	25
Pure Country	2	$10,839,136	$23,654,662	$10,839,136	1992	2010	18
Wrong Turn	6	$15,417,771	$23,292,849	$28,649,556	2003	2014	11
Waiting	2	$16,124,543	$22,916,469	$18,673,274	2005	2009	4
Wolf Creek	2	$16,186,348	$22,881,888	$29,170,393	2005	2014	9
American Girl	6	$17,657,973	$22,404,469	$17,657,973	2004	2015	11
Swan Princess	7	$10,007,424	$22,197,508	$10,115,138	1994	2018	24
Philadelphia Experiment	2	$8,105,330	$21,975,033	$8,105,330	1984	1993	9
No Manches Frida	2	$20,799,533	$21,412,610	$49,918,736	2016	2019	3
Les Boys	3	$11,572,073	$21,334,098	$11,572,073	1997	2001	4
Happily N'Ever After	2	$15,849,032	$20,986,142	$38,711,306	2007	2009	2
Shaun the Sheep	3	$19,375,982	$20,938,925	$133,937,710	2015	2019	4
See No Evil	2	$15,032,800	$20,908,206	$18,828,036	2006	2014	8
Arthur and the Minimoys	3	$15,827,035	$20,837,303	$198,502,059	2007	2015	8
Smoke	2	$9,628,284	$20,164,055	$15,128,284	1995	1995	
Undisputed	4	$12,398,628	$19,440,877	$12,402,560	2002	2017	15
My Hero Academia	2	$18,981,417	$18,981,417	$57,393,941	2018	2019	1
Belly	2	$9,639,390	$18,705,180	$9,639,390	1998	2008	10
Norm of the North	3	$17,062,499	$17,969,867	$31,627,211	2016	2020	4
The Man With The Iron Fists	2	$15,634,090	$17,892,778	$22,018,988	2012	2015	3
Best of the Best	2	$7,744,652	$17,182,599	$7,744,652	1989	1993	4
The Collector	2	$14,522,868	$17,162,356	$19,363,930	2009	2012	3
Molly Hartley	2	$13,442,412	$17,055,760	$15,318,257	2008	2015	7
Tom yum goong	2	$12,046,550	$16,754,128	$45,131,324	2006	2013	7
What the Bleep	2	$11,077,507	$16,201,333	$11,077,507	2004	2006	2
Phantasm	5	$7,282,851	$16,142,765	$7,282,851	1979	2016	37
Trois Couleurs	3	$6,831,974	$14,884,821	$6,845,215	1993	1994	1
12 Rounds	3	$12,234,694	$14,861,079	$17,306,648	2009	2015	6
My Little Pony	4	$5,958,456	$14,631,134	$6,502,751	1986	2015	29
Bratz	5	$10,010,209	$13,254,795	$25,747,223	2006	2008	2
Dhoom	3	$10,921,297	$13,034,060	$51,639,703	2004	2013	9
Buena Vista Social Club	2	$7,121,065	$12,666,080	$20,152,673	1999	2017	18
Boondock Saints	2	$10,303,658	$12,511,064	$11,041,194	2000	2009	9
Jean de Florette	2	$5,504,613	$12,350,509	$5,504,613	1987	1987	
City of God	2	$7,870,473	$11,694,889	$34,665,848	2003	2008	5
Trailer Park Boys	3	$8,936,791	$11,322,327	$8,944,680	2006	2014	8
Atlas Shrugged	3	$8,940,096	$10,227,205	$8,940,096	2011	2014	3
The Condemned	2	$7,371,706	$9,761,073	$7,371,706	2007	2015	8
Fire Earth Water	3	$6,559,649	$9,624,470	$12,353,078	1997	2006	9
Work and the Glory	3	$6,697,771	$9,485,140	$6,697,771	2004	2006	2
Stepfather, The	2	$4,008,536	$9,268,578	$4,008,536	1987	1989	2
Ladron que roba a ladron	2	$7,074,759	$8,622,032	$8,777,680	2007	2015	8
Belle de Jour	2	$4,067,177	$8,480,672	$4,079,204	1968	2007	39
Cities of Love	3	$6,445,461	$8,360,766	$15,016,262	2007	2019	12
Serbuan maut	2	$6,730,926	$7,626,099	$11,923,210	2012	2014	2
Ip Man	6	$7,088,481	$7,266,128	$441,575,053	2010	2019	9
Left Behind	1	$4,221,341	$6,794,411	$4,221,341	2001	2001	
The Snowman	2	$6,670,765	$6,774,879	$43,254,979	2017	2018	1
The Trip	3	$6,062,324	$6,713,232	$11,421,886	2011	2017	6
Ong-Bak	3	$4,680,515	$6,626,796	$31,660,905	2005	2011	6
Goal	3	$4,508,322	$6,242,883	$31,869,940	2006	2008	2
In The Name of the King	3	$4,775,656	$6,059,362	$13,233,220	2008	2014	6
Elvis Gratton	1	$3,316,272	$5,947,090	$3,316,272	1999	1999	
No Retreat, No Surrender	2	$2,381,199	$5,828,451	$2,381,199	1986	1989	3
State Property	2	$3,791,425	$5,696,602	$3,791,425	2002	2005	3
Nitro	2	$3,768,878	$4,990,476	$3,768,878	2007	2016	9
Dabangg	3	$4,298,223	$4,854,981	$102,737,123	2010	2019	9
3 Hommes	2	$1,973,605	$4,822,032	$1,973,605	1986	2003	17
Endless Summer	1	$2,155,385	$4,812,631	$2,155,385	1994	1994	
Goon	2	$4,164,911	$4,766,625	$7,134,300	2012	2017	5
Cruising Bar	1	$3,579,013	$4,541,053	$3,579,013	2008	2008	
Aries Films	1	$2,000,022	$4,390,410	$2,000,022	1992	1992	
8 Films to Die For	2	$3,185,315	$4,371,907	$3,185,315	2006	2007	1
Asterix	4	$2,643,871	$4,216,855	$195,323,996	1996	2012	16
Nueba Yol	2	$2,022,827	$4,108,674	$2,022,827	1996	1997	1
Poison Ivy	2	$1,829,804	$4,016,745	$1,829,804	1992	2009	17
DC Animated Movie Universe	39	$3,775,000	$3,975,750	$4,428,007	2007	2020	13
Tanu Weds Manu	2	$3,283,499	$3,564,706	$12,169,332	2011	2015	4
Laura Cadieux	2	$1,823,384	$3,411,823	$1,823,384	1998	1999	1
Babar	2	$1,532,561	$3,387,763	$1,532,561	1989	1999	10
Trois	2	$2,043,793	$3,346,586	$2,043,793	2000	2002	2
BloodRayne	2	$2,405,420	$3,345,547	$3,711,633	2006	2011	5
Penitentiary	2	$949,896	$3,026,023	$949,896	1980	1982	2
Koi Mil Gaya	2	$2,111,700	$3,018,698	$34,183,129	2003	2006	3
Dhamaal	3	$2,877,617	$3,012,420	$37,689,451	2007	2019	12
Henry Fool	2	$1,461,500	$2,760,503	$1,461,500	1998	2007	9
Night Watch	2	$1,961,283	$2,697,189	$72,784,452	2006	2007	1
Baaghi	3	$2,479,225	$2,502,526	$34,417,124	2016	2020	4
Detective Chinatown	3	$2,443,816	$2,468,263	$665,904,465	2015	2020	5
Ghost in the Shell	2	$1,487,475	$2,445,634	$1,487,475	1996	2004	8
Dans une galaxie pres de chez vous	1	$1,883,999	$2,390,418	$1,883,999	2008	2008	
USA - Land of Opportunities	3	$1,604,591	$2,348,257	$15,394,960	2004	2009	5
Donnie Darko	2	$1,480,006	$2,146,416	$8,549,114	2001	2009	8
7 Up	4	$1,727,415	$2,115,869	$1,727,415	1999	2019	20
Shiloh	2	$1,035,175	$2,048,238	$1,035,175	1997	1999	2
The True North Trilogy	2	$1,821,983	$2,031,603	$1,910,512	2014	2016	2
Saints and Soldiers	2	$1,310,470	$1,914,685	$1,310,470	2004	2014	10
Singham	2	$1,577,445	$1,770,775	$30,050,894	2011	2014	3
Banlieue 13	2	$1,236,352	$1,711,022	$20,386,278	2006	2010	4
Jolly LLB	2	$1,654,254	$1,680,075	$31,262,936	2013	2017	4
Restrepo	2	$1,432,204	$1,649,648	$1,531,913	2010	2014	4
Visiteurs	2	$805,072	$1,641,986	$124,900,072	1996	1998	2
Ren zai jiong tu Tai jiong	2	$1,302,281	$1,407,322	$442,673,381	2012	2015	3
Boys Life	3	$738,494	$1,371,337	$738,494	1997	2003	6
Vengeance Trilogy	3	$964,301	$1,364,022	$29,743,500	2003	2006	3
Superfly	1	$610,402	$1,317,716	$610,402	1990	1990	
Sarkar	1	$1,009,065	$1,280,301	$17,722,998	2008	2008	
Epic Stories of the Bible	1	$952,820	$1,261,653	$1,051,907	2007	2007	
Nymphomaniac	2	$1,113,063	$1,241,110	$2,742,936	2014	2014	
Taxi	5	$729,844	$1,233,357	$103,552,731	1998	2018	20
ABCD	2	$1,114,231	$1,212,960	$11,341,415	2013	2015	2
Cremaster	2	$665,861	$951,995	$682,654	2003	2004	1
Generation Iron	2	$849,521	$951,922	$901,649	2013	2017	4
Cube	1	$489,220	$950,273	$8,969,065	1998	1998	
Cage aux Folles	2	$363,989	$915,737	$363,989	1979	1986	7
Journey to the West	2	$898,404	$914,216	$456,733,131	2013	2017	4
Detective Dee	3	$825,500	$906,721	$187,067,303	2011	2018	7
The Spanish Apartment	3	$712,899	$892,580	$32,075,112	2006	2014	8
Ex Files	2	$837,791	$840,607	$344,271,614	2015	2017	2
Student of the Year	1	$778,566	$778,566	$1,057,980	2019	2019	
Red Cliff	2	$627,047	$755,629	$150,127,047	2009	2009	
The Monkey King	1	$709,982	$747,731	$194,058,503	2016	2016	
Zhuo yao ji (Monster Hunt)	2	$738,919	$740,653	$720,979,406	2015	2018	3
The Act of Killing	2	$596,008	$663,353	$1,564,647	2013	2015	2
Ai Weiwei	2	$546,396	$623,644	$865,078	2012	2014	2
Cold War	2	$560,824	$590,647	$149,778,639	2012	2016	4
Bhoothnath	2	$449,776	$570,669	$11,532,795	2008	2014	6
On Any Sunday	1	$509,916	$568,582	$509,916	2014	2014	
Attack on Titan	3	$502,150	$542,646	$45,369,926	2014	2015	1
SLC Punk	2	$299,200	$536,552	$299,200	1999	2016	17
Seven Up!	1	$300,680	$509,695	$300,680	1999	1999	
Swamp Thing	2	$192,816	$440,232	$274,928	1982	1989	7
Apu Trilogy	3	$402,723	$435,203	$402,723	1956	1959	3
Golmaal	1	$313,102	$397,260	$313,102	2008	2008	
The Human Centipede	3	$337,906	$388,241	$513,014	2010	2015	5
OSS 117	1	$303,328	$384,861	$23,726,439	2008	2008	
The Red Riding Trilogy	3	$300,470	$346,918	$300,470	2010	2010	
Hatchet	4	$237,281	$303,672	$302,396	2007	2017	10
In Search of	2	$225,000	$297,924	$720,945	2006	2009	3
Herb and Dorothy	2	$233,654	$280,133	$233,654	2009	2013	4
Tai Chi Zero	2	$242,924	$277,272	$44,806,595	2012	2013	1
Monsters	2	$237,301	$273,992	$5,692,480	2010	2015	5
Eating Out	2	$192,284	$271,324	$192,284	2005	2006	1
Evangelion	3	$241,437	$264,569	$66,296,028	2009	2012	3
Seasons Quartet	1	$198,791	$221,628	$198,791	2014	2014	
Snabba Cash	2	$188,870	$216,153	$10,212,403	2012	2014	2
Malevolence	3	$150,421	$210,832	$370,506	2004	2018	14
Bølgen	2	$183,639	$193,072	$5,786,712	2015	2018	3
Appurushido	2	$129,135	$183,521	$141,928	2005	2008	3
Somm	2	$153,620	$172,133	$153,620	2013	2016	3
On the Run	2	$103,569	$151,928	$303,715	2004	2004	
Munde U.K. De	1	$135,000	$150,525	$135,000	2014	2014	
V/H/S	3	$124,934	$142,371	$2,007,143	2012	2014	2
Fukrey	2	$124,221	$139,192	$16,225,986	2013	2017	4
Cowgirls n' Angels	2	$119,782	$137,078	$119,782	2012	2014	2
Another Gay Movie	1	$104,828	$133,006	$104,828	2008	2008	
Infernal Affairs	3	$89,594	$131,430	$89,594	2004	2007	3
America the Beautiful	3	$88,539	$110,850	$88,539	2008	2015	7
I Spit on Your Grave	3	$93,861	$108,336	$1,503,604	2010	2015	5
Evil Bong	1	$91,260	$104,838	$91,260	2011	2011	
Detective K	1	$104,012	$104,012	$18,708,399	2018	2018	
Dod sno	2	$79,359	$93,141	$2,226,637	2009	2014	5
Feast	3	$56,131	$78,064	$690,872	2006	2009	3
Hak Se Wui	1	$55,758	$73,827	$55,758	2007	2007	
Three Mothers	1	$54,947	$69,710	$54,947	2008	2008	
Tiger & Bunny	2	$61,562	$68,644	$61,562	2014	2019	5
San Francisco Opera Cinemacasts 2007	4	$49,088	$62,276	$49,088	2008	2008	
Outrage	2	$48,623	$55,653	$15,279,572	2011	2012	1
[REC]	4	$38,203	$43,965	$49,376,081	2007	2015	8
The Inbetweeners	2	$35,955	$41,141	$144,051,320	2012	2014	2
Stake Land	2	$33,245	$38,189	$714,234	2011	2017	6
Klovn	2	$33,700	$38,034	$7,027,221	2012	2015	3
Girls (China)	2	$37,115	$37,115	$10,281,835	2014	2018	4
Gasland	2	$30,846	$35,611	$339,505	2010	2014	4
ABC's of Death	2	$29,003	$32,449	$42,307	2013	2014	1
As Mil e Uma Noites	3	$23,160	$24,761	$54,451	2015	2015	
Django	2	$19,391	$22,137	$19,391	1966	2020	54
St. Trinian's	2	$15,000	$18,220	$29,830,239	2009	2009	
The Wedding Party	2	$11,140	$11,140	$73,115	2017	2017	
Tomorrow, When the War Began	1	$4,936	$5,648	$13,404,936	2012	2012	
Donald Strachey	2	$4,269	$5,402	$4,269	2008	2008	
Nuke 'Em High	1	$4,790	$5,338	$4,790	2014	2014	
Contracted	2	$3,328	$3,726	$287,928	2013	2015	2
Hayride	1	$2,571	$2,769	$2,571	2015	2015	
Barbie	32	$0	$0	$5,130,193	2002	2020	18
Air Buddies	9	$0	$0	$0	2006	2013	7
Boonie Bears	8	$0	$0	$373,650,832	2015	2019	4
Tinker Bell	6	$0	$0	$175,997,380	2008	2014	6
Monster High	6	$0	$0	$0	2012	2017	5
Strawberry Shortcake	5	$0	$0	$0	2006	2010	4
Doraemon	5	$0	$0	$203,578,370	2007	2017	10
